source,target,book,weight
吴三桂,杨溢之,lu,7
方怡,吴三桂,lu,3
吴三桂,方怡,lu,3
韦小宝,沐剑声,lu,38
韦小宝,钱老本,lu,44
风际中,沐剑声,lu,1
风际中,钱老本,lu,3
风际中,关安基,lu,2
关安基,沐剑声,lu,4
关安基,钱老本,lu,3
沐剑声,韦小宝,lu,37
沐剑声,钱老本,lu,2
钱老本,韦小宝,lu,46
钱老本,沐剑声,lu,2
沐剑声,关安基,lu,6
沐剑声,吴应熊,lu,1
沐剑声,沐剑屏,lu,3
沐剑声,陈近南,lu,11
沐剑声,徐天川,lu,7
关安基,徐天川,lu,4
徐天川,沐剑声,lu,4
沐剑声,吴三桂,lu,15
徐天川,关安基,lu,8
关安基,吴应熊,lu,1
关安基,吴三桂,lu,1
赵齐贤,韦小宝,lu,49
赵齐贤,多隆,lu,4
多隆,赵齐贤,lu,5
多隆,刘一舟,lu,2
赵齐贤,刘一舟,lu,2
吴三桂,刘一舟,lu,4
吴三桂,赵齐贤,lu,7
刘一舟,赵齐贤,lu,2
刘一舟,沐剑声,lu,1
赵齐贤,沐剑声,lu,1
赵齐贤,沐剑屏,lu,1
沐剑屏,吴三桂,lu,11
方怡,沐剑声,lu,1
沐剑声,刘一舟,lu,2
瑞栋,刘一舟,lu,1
韦小宝,吴立身,lu,73
沐剑屏,吴立身,lu,2
吴立身,韦小宝,lu,78
吴立身,沐剑屏,lu,2
刘一舟,海大富,lu,1
吴三桂,海大富,lu,1
沐剑屏,海大富,lu,1
海大富,方怡,lu,1
方怡,张康年,lu,1
方怡,多隆,lu,1
张康年,韦小宝,lu,68
张康年,刘一舟,lu,4
多隆,张康年,lu,3
刘一舟,张康年,lu,2
刘一舟,钱老本,lu,2
张康年,钱老本,lu,1
钱老本,刘一舟,lu,1
吴立身,吴三桂,lu,7
吴立身,刘一舟,lu,14
刘一舟,吴立身,lu,11
吴立身,方怡,lu,5
方怡,吴立身,lu,3
吴立身,徐天川,lu,10
徐天川,吴立身,lu,12
刘一舟,瑞栋,lu,1
张康年,瑞栋,lu,1
瑞栋,张康年,lu,1
张康年,吴立身,lu,1
吴立身,钱老本,lu,3
钱老本,吴立身,lu,2
张康年,沐剑屏,lu,2
方怡,小玄子,lu,3
徐天川,陈近南,lu,4
陈近南,沐剑声,lu,11
吴立身,沐剑声,lu,6
吴立身,陈近南,lu,8
沐剑声,吴立身,lu,7
陈近南,吴立身,lu,8
陈近南,钱老本,lu,4
钱老本,陈近南,lu,7
刘一舟,陈近南,lu,1
陈近南,徐天川,lu,4
吴三桂,吴立身,lu,7
吴三桂,沐剑声,lu,8
关安基,吴立身,lu,1
吴立身,关安基,lu,1
陈近南,李西华,lu,11
李西华,陈近南,lu,10
李西华,关安基,lu,1
关安基,李西华,lu,1
李西华,吴三桂,lu,6
吴三桂,李西华,lu,2
李西华,韦小宝,lu,10
韦小宝,李西华,lu,11
李西华,沐剑声,lu,2
沐剑声,李西华,lu,2
陈近南,吴应熊,lu,3
陈近南,风际中,lu,8
风际中,陈近南,lu,9
刘一舟,吴三桂,lu,3
鳌拜,朱元璋,lu,1
多隆,沐剑声,lu,2
多隆,吴立身,lu,1
朱元璋,吴三桂,lu,6
朱元璋,沐剑声,lu,1
朱元璋,多隆,lu,1
朱元璋,吴立身,lu,1
徐天川,沐剑屏,lu,11
方怡,徐天川,lu,11
徐天川,刘一舟,lu,6
刘一舟,徐天川,lu,3
徐天川,方怡,lu,12
吴三桂,沐剑屏,lu,8
沐剑屏,徐天川,lu,7
徐天川,茅十八,lu,1
徐天川,小玄子,lu,1
沐剑屏,茅十八,lu,1
沐剑屏,小玄子,lu,2
茅十八,徐天川,lu,3
茅十八,沐剑屏,lu,1
小玄子,徐天川,lu,1
小玄子,沐剑屏,lu,2
韦小宝,陶红英,lu,50
陶红英,韦小宝,lu,45
陶红英,吴三桂,lu,1
吴三桂,陶红英,lu,2
陶红英,鳌拜,lu,1
鳌拜,陶红英,lu,1
陶红英,海大富,lu,2
海大富,陶红英,lu,2
陶红英,陈近南,lu,2
鳌拜,刘一舟,lu,4
刘一舟,鳌拜,lu,2
鳌拜,吴立身,lu,1
徐天川,陶红英,lu,1
方怡,鳌拜,lu,1
韦小宝,邓炳春,lu,3
邓炳春,韦小宝,lu,4
邓炳春,说不得,lu,1
韦小宝,双儿,lu,297
双儿,韦小宝,lu,280
沐剑屏,双儿,lu,8
鳌拜,双儿,lu,5
双儿,鳌拜,lu,3
双儿,沐剑屏,lu,12
沐剑屏,鳌拜,lu,1
韦小宝,吴之荣,lu,67
双儿,吴之荣,lu,7
吴之荣,韦小宝,lu,67
吴之荣,双儿,lu,5
韦小宝,桑结,lu,73
小玄子,双儿,lu,4
双儿,方怡,lu,22
方怡,双儿,lu,14
双儿,海大富,lu,1
陶红英,小玄子,lu,1
双儿,小玄子,lu,3
韦小宝,胖头陀,lu,97
胖头陀,韦小宝,lu,98
胖头陀,双儿,lu,14
双儿,胖头陀,lu,12
韦小宝,莫大,lu,3
胖头陀,莫大,lu,1
莫大,韦小宝,lu,3
莫大,胖头陀,lu,1
胖头陀,海大富,lu,1
胖头陀,吴三桂,lu,5
海大富,吴三桂,lu,1
海大富,胖头陀,lu,1
吴三桂,胖头陀,lu,6
胖头陀,陶红英,lu,1
陶红英,胖头陀,lu,1
胖头陀,陈近南,lu,2
陈近南,双儿,lu,10
陈近南,胖头陀,lu,1
方怡,胖头陀,lu,5
胖头陀,方怡,lu,3
双儿,徐天川,lu,8
胖头陀,沐剑屏,lu,5
小玄子,方怡,lu,1
胖头陀,无根道人,lu,5
韦小宝,洪安通,lu,14
许雪亭,无根道人,lu,7
无根道人,许雪亭,lu,5
许雪亭,韦小宝,lu,6
韦小宝,无根道人,lu,17
沐剑屏,无根道人,lu,4
沐剑屏,胖头陀,lu,1
无根道人,韦小宝,lu,15
无根道人,沐剑屏,lu,4
茅十八,无根道人,lu,1
茅十八,胖头陀,lu,1
茅十八,许雪亭,lu,1
韦小宝,苏荃,lu,50
苏荃,洪安通,lu,1
洪安通,许雪亭,lu,2
韦小宝,陆高轩,lu,61
无根道人,胖头陀,lu,2
无根道人,陆高轩,lu,5
陆高轩,胖头陀,lu,20
胖头陀,瘦头陀,lu,17
瘦头陀,韦小宝,lu,56
瘦头陀,胖头陀,lu,15
陆高轩,无根道人,lu,9
胖头陀,陆高轩,lu,18
陆高轩,韦小宝,lu,54
洪安通,韦小宝,lu,12
洪安通,胖头陀,lu,1
洪安通,陆高轩,lu,1
韦小宝,瘦头陀,lu,56
陆高轩,方怡,lu,4
陆高轩,沐剑屏,lu,3
方怡,陆高轩,lu,4
沐剑屏,陆高轩,lu,4
无根道人,双儿,lu,3
无根道人,方怡,lu,3
陆高轩,双儿,lu,4
陆高轩,徐天川,lu,2
陆高轩,钱老本,lu,2
徐天川,胖头陀,lu,2
钱老本,胖头陀,lu,3
韦小宝,建宁公主,lu,45
建宁公主,韦小宝,lu,47
建宁公主,鳌拜,lu,1
鳌拜,建宁公主,lu,1
韦小宝,李自成,lu,24
张康年,李自成,lu,1
张康年,吴三桂,lu,11
赵齐贤,李自成,lu,1
赵齐贤,张康年,lu,11
赵齐贤,吴三桂,lu,7
李自成,曾柔,lu,1
张康年,曾柔,lu,1
吴三桂,曾柔,lu,1
曾柔,吴应熊,lu,1
曾柔,吴三桂,lu,1
韦小宝,曾柔,lu,25
吴三桂,张康年,lu,8
小玄子,海大富,lu,1
小玄子,陈近南,lu,1
韦小宝,澄观,lu,88
澄观,韦小宝,lu,85
澄观,说不得,lu,1
澄观,沐剑屏,lu,1
韦小宝,令狐冲,lu,1
澄观,令狐冲,lu,1
澄观,海大富,lu,1
澄观,陈近南,lu,1
海大富,双儿,lu,1
双儿,澄观,lu,3
韦小宝,葛尔丹,lu,48
葛尔丹,韦小宝,lu,52
葛尔丹,澄观,lu,5
澄观,葛尔丹,lu,2
澄观,鳌拜,lu,1
澄观,杨溢之,lu,1
澄观,张康年,lu,1
澄观,赵齐贤,lu,1
张康年,葛尔丹,lu,1
张康年,赵齐贤,lu,6
双儿,张康年,lu,1
张康年,双儿,lu,2
赵齐贤,澄观,lu,1
张康年,澄观,lu,1
澄观,多隆,lu,2
李自成,韦小宝,lu,24
老不死,韦小宝,lu,1
葛尔丹,赵齐贤,lu,2
葛尔丹,吴三桂,lu,14
索额图,建宁公主,lu,1
多隆,建宁公主,lu,2
陶红英,建宁公主,lu,2
建宁公主,陶红英,lu,1
索额图,陶红英,lu,1
多隆,陶红英,lu,2
韦小宝,袁承志,lu,4
袁承志,韦小宝,lu,5
桑结,韦小宝,lu,68
韦小宝,施琅,lu,136
陈近南,施琅,lu,15
施琅,冯锡范,lu,6
施琅,韦小宝,lu,130
桑结,海大富,lu,1
海大富,桑结,lu,1
桑结,陈近南,lu,1
韦小宝,九难,lu,59
九难,韦小宝,lu,59
九难,桑结,lu,1
桑结,九难,lu,1
阿九,韦小宝,lu,1
黄真,韦小宝,lu,1
穆人清,韦小宝,lu,1
吴三桂,陈圆圆,lu,21
陈圆圆,吴三桂,lu,14
陈圆圆,韦小宝,lu,56
九难,袁承志,lu,3
袁承志,九难,lu,2
九难,沐剑声,lu,1
吴三桂,九难,lu,14
九难,吴三桂,lu,19
风际中,九难,lu,1
徐天川,九难,lu,2
关安基,九难,lu,2
九难,徐天川,lu,3
钱老本,徐天川,lu,6
关安基,风际中,lu,2
韦小宝,玉真子,lu,2
玉真子,韦小宝,lu,1
鳌拜,澄观,lu,1
鳌拜,风际中,lu,1
风际中,澄观,lu,1
澄观,风际中,lu,1
徐天川,澄观,lu,1
九难,风际中,lu,1
吴立身,多隆,lu,1
沐剑声,多隆,lu,2
多隆,澄观,lu,1
多隆,海大富,lu,2
海大富,多隆,lu,3
吴立身,九难,lu,1
杨溢之,吴立身,lu,4
吴立身,杨溢之,lu,3
杨溢之,沐剑声,lu,1
冯锡范,韦小宝,lu,63
韦小宝,冯锡范,lu,71
杨溢之,冯锡范,lu,1
九难,小玄子,lu,1
小玄子,九难,lu,1
杨溢之,多隆,lu,1
冯锡范,杨溢之,lu,2
冯锡范,九难,lu,1
冯锡范,陈近南,lu,15
冯锡范,吴三桂,lu,2
吴三桂,建宁公主,lu,3
建宁公主,吴应熊,lu,9
陈近南,冯锡范,lu,20
风际中,冯锡范,lu,13
钱老本,冯锡范,lu,3
钱老本,风际中,lu,6
关安基,冯锡范,lu,3
冯锡范,关安基,lu,1
冯锡范,钱老本,lu,2
关安基,双儿,lu,1
双儿,建宁公主,lu,2
九难,建宁公主,lu,4
鳌拜,瑞栋,lu,1
瑞栋,建宁公主,lu,1
桑结,吴三桂,lu,10
陆高轩,吴三桂,lu,2
陆高轩,吴应熊,lu,1
陆高轩,建宁公主,lu,1
吴应熊,建宁公主,lu,3
九难,冯锡范,lu,1
九难,陈近南,lu,2
吴三桂,冯锡范,lu,3
钱老本,吴应熊,lu,4
澄观,九难,lu,1
海大富,九难,lu,1
九难,钱老本,lu,1
钱老本,九难,lu,1
建宁公主,吴三桂,lu,3
吴应熊,张康年,lu,2
吴应熊,赵齐贤,lu,3
杨溢之,张康年,lu,1
杨溢之,赵齐贤,lu,2
张康年,吴应熊,lu,1
赵齐贤,吴应熊,lu,1
张康年,杨溢之,lu,1
赵齐贤,杨溢之,lu,1
吴应熊,风际中,lu,3
吴应熊,徐天川,lu,2
吴应熊,钱老本,lu,1
吴三桂,风际中,lu,1
吴三桂,钱老本,lu,13
徐天川,杨溢之,lu,4
杨溢之,徐天川,lu,2
徐天川,钱老本,lu,4
杨溢之,钱老本,lu,1
钱老本,杨溢之,lu,1
杨溢之,风际中,lu,1
风际中,吴三桂,lu,4
钱老本,吴三桂,lu,13
吴三桂,葛尔丹,lu,17
葛尔丹,杨溢之,lu,1
吴应熊,葛尔丹,lu,2
风际中,杨溢之,lu,1
吴三桂,说不得,lu,2
说不得,吴三桂,lu,1
徐天川,赵齐贤,lu,1
韦小宝,陈圆圆,lu,65
沐剑屏,建宁公主,lu,1
韦小宝,西施,lu,3
西施,韦小宝,lu,4
李自成,吴三桂,lu,19
李自成,陈圆圆,lu,10
西施,陈圆圆,lu,1
陈圆圆,九难,lu,7
九难,陈圆圆,lu,13
澄观,陈圆圆,lu,1
九难,李自成,lu,13
李自成,九难,lu,12
吴三桂,李自成,lu,19
陈圆圆,李自成,lu,6
吴应熊,李自成,lu,1
李自成,徐天川,lu,3
沐剑屏,沐剑声,lu,1
风际中,张康年,lu,1
徐天川,张康年,lu,1
胖头陀,张康年,lu,1
陆高轩,张康年,lu,1
张康年,胖头陀,lu,1
张康年,陆高轩,lu,1
张康年,陈近南,lu,1
张康年,李西华,lu,1
胖头陀,赵齐贤,lu,1
胖头陀,李西华,lu,3
陆高轩,陈近南,lu,1
陆高轩,赵齐贤,lu,1
陆高轩,李西华,lu,3
赵齐贤,李西华,lu,1
陆高轩,瘦头陀,lu,15
瘦头陀,李西华,lu,6
瘦头陀,陆高轩,lu,13
李西华,胖头陀,lu,4
李西华,陆高轩,lu,3
李西华,瘦头陀,lu,6
瘦头陀,冯锡范,lu,3
张康年,冯锡范,lu,3
张康年,瘦头陀,lu,1
冯锡范,瘦头陀,lu,2
李西华,冯锡范,lu,5
李自成,冯锡范,lu,4
李自成,瘦头陀,lu,2
胖头陀,冯锡范,lu,2
陆高轩,冯锡范,lu,3
双儿,冯锡范,lu,11
双儿,赵齐贤,lu,1
双儿,瘦头陀,lu,3
冯锡范,风际中,lu,9
赵齐贤,冯锡范,lu,3
赵齐贤,风际中,lu,1
瘦头陀,风际中,lu,1
风际中,李西华,lu,1
冯锡范,李西华,lu,4
李西华,徐天川,lu,2
李西华,钱老本,lu,1
徐天川,李自成,lu,2
钱老本,李自成,lu,2
李自成,钱老本,lu,1
徐天川,瘦头陀,lu,2
钱老本,瘦头陀,lu,2
李自成,李西华,lu,11
瘦头陀,李自成,lu,1
李西华,李自成,lu,8
李自成,双儿,lu,3
瘦头陀,钱老本,lu,2
钱老本,陆高轩,lu,1
钱老本,李西华,lu,2
胖头陀,徐天川,lu,1
胖头陀,钱老本,lu,1
徐天川,李西华,lu,1
李西华,赵齐贤,lu,1
张康年,徐天川,lu,1
赵齐贤,双儿,lu,1
赵齐贤,徐天川,lu,1
徐天川,双儿,lu,9
韦小宝,吴六奇,lu,51
吴六奇,徐天川,lu,5
徐天川,吴六奇,lu,3
吴六奇,钱老本,lu,4
钱老本,吴六奇,lu,1
吴六奇,韦小宝,lu,53
吴六奇,吴三桂,lu,11
吴三桂,吴六奇,lu,10
徐天川,鳌拜,lu,1
吴六奇,鳌拜,lu,1
吴六奇,冯锡范,lu,8
吴六奇,陈近南,lu,15
冯锡范,李自成,lu,4
陈近南,李自成,lu,1
吴六奇,李自成,lu,3
李自成,吴六奇,lu,3
李自成,胖头陀,lu,1
李自成,陆高轩,lu,1
吴六奇,双儿,lu,7
吴六奇,风际中,lu,2
冯锡范,双儿,lu,11
胖头陀,李自成,lu,1
胖头陀,风际中,lu,1
陆高轩,李自成,lu,1
陆高轩,风际中,lu,1
风际中,双儿,lu,14
双儿,吴六奇,lu,7
李西华,吴六奇,lu,1
冯锡范,吴六奇,lu,5
冯锡范,胡逸之,lu,4
吴六奇,胡逸之,lu,14
胡逸之,韦小宝,lu,18
韦小宝,胡逸之,lu,19
胡逸之,冯锡范,lu,4
胡逸之,吴六奇,lu,13
风际中,胡逸之,lu,1
风际中,吴六奇,lu,2
胡逸之,陈圆圆,lu,9
陈圆圆,胡逸之,lu,6
吴六奇,陈圆圆,lu,6
陈圆圆,吴六奇,lu,5
胡逸之,吴三桂,lu,1
陈圆圆,吴立身,lu,1
吴六奇,吴立身,lu,1
吴立身,吴六奇,lu,1
陈近南,吕留良,lu,2
陈近南,黄宗羲,lu,1
韦小宝,吕留良,lu,5
韦小宝,黄宗羲,lu,1
吕留良,韦小宝,lu,6
吕留良,吴三桂,lu,2
吕留良,陈近南,lu,2
黄宗羲,韦小宝,lu,1
黄宗羲,吴三桂,lu,1
黄宗羲,陈近南,lu,1
双儿,陈近南,lu,7
吴六奇,沐剑屏,lu,1
沐剑屏,陈近南,lu,2
沐剑屏,吴六奇,lu,1
陈近南,九难,lu,1
胡逸之,双儿,lu,1
吴六奇,九难,lu,1
韦小宝,木桑道长,lu,2
木桑道长,韦小宝,lu,1
木桑道长,九难,lu,1
袁承志,徐天川,lu,1
徐天川,建宁公主,lu,1
韦小宝,汤若望,lu,8
汤若望,韦小宝,lu,9
汤若望,鳌拜,lu,2
吴三桂,双儿,lu,6
汤若望,吴三桂,lu,3
吴三桂,瘦头陀,lu,2
索额图,施琅,lu,13
索额图,冯锡范,lu,1
索额图,胖头陀,lu,2
索额图,陆高轩,lu,2
施琅,索额图,lu,11
冯锡范,索额图,lu,1
胖头陀,索额图,lu,1
陆高轩,索额图,lu,1
冯锡范,施琅,lu,6
鳌拜,施琅,lu,4
方怡,施琅,lu,5
施琅,瘦头陀,lu,4
韦小宝,许雪亭,lu,7
瘦头陀,无根道人,lu,2
瘦头陀,许雪亭,lu,3
无根道人,瘦头陀,lu,2
许雪亭,瘦头陀,lu,5
瘦头陀,施琅,lu,1
双儿,施琅,lu,3
方怡,建宁公主,lu,1
建宁公主,方怡,lu,1
施琅,胖头陀,lu,1
施琅,陆高轩,lu,2
陆高轩,许雪亭,lu,7
方怡,无根道人,lu,3
方怡,许雪亭,lu,1
瘦头陀,吴三桂,lu,1
吴三桂,陆高轩,lu,4
陆高轩,施琅,lu,1
吴三桂,洪安通,lu,1
汤若望,洪安通,lu,2
胖头陀,汤若望,lu,1
陆高轩,汤若望,lu,1
洪安通,施琅,lu,1
洪安通,瘦头陀,lu,2
无根道人,施琅,lu,1
施琅,无根道人,lu,1
索额图,无根道人,lu,1
双儿,无根道人,lu,1
瘦头陀,双儿,lu,4
